"ds","queryId","simTitle","simDescription","Median_Rating"
"1",1,0,0,1
"2",2,0.547722557505166,0.191273013919001,4
"3",4,0.447213595499958,0,4
"4",5,0.447213595499958,0.0890870806374748,4
"5",7,0.534522483824849,0.239045721866879,2
"6",8,0.471404520791032,0.0629940788348712,3
"7",10,0,0.0613139339484966,1
"8",13,0.577350269189626,0.240192230707631,4
"9",17,0,0.0912870929175277,2
"10",20,0.577350269189626,0.262612865719445,4
"11",28,0.5,0.14142135623731,3
"12",31,0,0,3
"13",32,0.471404520791032,0,4
"14",35,0.267261241912424,0.223606797749979,4
"15",46,0.235702260395516,0.192450089729875,4
"16",52,0.348155311911396,0.140028008402801,4
"17",54,0.632455532033676,0.333333333333333,4
"18",56,0.384900179459751,0.144337567297406,3
"19",58,0.534522483824849,0.208514414057075,4
"20",59,0.316227766016838,0.0690065559342354,3
"21",63,0.408248290463863,0,4
"22",64,0.316227766016838,0,4
"23",65,0.365148371670111,0.172132593164774,3
"24",66,0.258198889747161,0.0890870806374748,2
"25",71,0.534522483824849,0.2,4
"26",72,0.530330085889911,0.210042012604201,2
"27",73,0.316227766016838,0,4
"28",74,0.353553390593274,0.154303349962092,4
"29",80,0,0,2
"30",83,0.534522483824849,0,4
"31",88,0.223606797749979,0,4
"32",89,0.654653670707977,0.333333333333333,4
"33",90,0.654653670707977,0,4
"34",91,0.5,0,2
"35",94,0.316227766016838,0,3
"36",98,0.288675134594813,0,4
"37",103,0.176776695296637,0,4
"38",105,0,0,1
"39",108,0.471404520791032,0,4
"40",109,0.612372435695795,0,4
"41",110,0.235702260395516,0,4
"42",112,0.707106781186548,0.223606797749979,4
"43",113,0.666666666666667,0.174077655955698,4
"44",115,0.447213595499958,0,4
"45",119,0.408248290463863,0.316227766016838,2
"46",122,0.612372435695795,0.184637236468999,4
"47",124,0.384900179459751,0,4
"48",126,0.288675134594813,0.150755672288882,3
"49",135,0.516397779494322,0.133333333333333,2
"50",136,0,0.0758098043578903,4
"51",143,0.816496580927726,0,4
"52",145,0.267261241912424,0.138675049056307,3
"53",151,0.547722557505166,0.420084025208403,4
"54",161,0.426401432711221,0,3
"55",164,0.534522483824849,0.316227766016838,2
"56",171,0.288675134594813,0,3
"57",172,0.426401432711221,0.204124145231932,4
"58",173,0.471404520791032,0.377964473009227,3
"59",176,0.474341649025257,0,4
"60",181,0.447213595499958,0.077151674981046,4
"61",183,0.267261241912424,0.106600358177805,2
